ds,forecast,lower_bound,upper_bound
2018-01-01,33944.28272642906,26287.44700717685,41166.38639920989
2018-02-01,17617.875820005203,10307.373488236686,24841.644753032262
2018-03-01,66525.70200325639,58762.32214025737,73949.93720380896
2018-04-01,45841.76999038112,38416.45438047664,53618.68307587608
2018-05-01,45531.708093859874,37541.60808824383,53619.18848290046
2018-06-01,47125.24871858996,39006.11487122023,54797.82519813748
